Школа,Область,Район,Дата заповнення анкети,"В Україні незаможні люди, зазвичай, є кращими, ніж люди із великими статками",Для вирішення проблеми корупції потрібно посадити всіх корупціонерів за грати,Запорукою успіху в житті є…?,Вчитись потрібно в першу чергу тому що…?,Якою мірою слід дозволяти переїжджати до України людям іншої раси чи національності,Хто така еліта?,Пропозиції «швидко розбагатіти в інтернеті» можуть бути дійсно хорошими,"За погану дорогу в селі, в першу чергу, несе відповідальність…",В Україні існує достатньо можливостей заробляти багато грошей чесним способом,Говорити про секс – соромно,Якщо щось пішло не так – у першу чергу потрібно знайти винних і покарати їх,Якщо щось пішло не так – у першу чергу треба знайти винних і покарати чи знайти збої в системі і причини помилки?,Який із запропонованих сценаріїв життя був би найбільш прийнятним для тебе?,Що ти думаєш про майбутнє України?,Кому ти найбільше довіряєш?,Наука – це щось нудне й далеке від практичного життя,Керівництво держави має отримувати заробітну плату не більше ніж середньостатистичний громадянин,"Якщо є людина, що курила і дожила до 100 років, то куріння не є таким шкідливим, як про це говорять","Для суспільства культура та мистецтво менш важливі, ніж деякі інші аспекти",Чи вважаєш ти себе щасливою людиною?,ЛГБТ-людей треба вилікувати чи виправити,"Бізнесмен - це той, хто забезпечує розвиток економіки і наполегливо працює задля досягнення успіху","Наскільки, на твій погляд, нинішня політична система в Україні дозволяє таким людям, як Ти, впливати на політику?",Помилятись – це погано і ознака поразки та неуспіху,"Мати хороше життя, народившись в селі, майже не реально",Ким ти себе перш за все вважаєш?,"Який основний мотив людей в Україні, які йдуть у політику чи на державну службу?",Для мене гідність залежить від мого успіху та визнання іншими,Вік,"З якими проблемами ти можеш звернутися до батьків або інших дорослих, які про тебе піклуються?","Чи вистачає тобі спілкування з батьками/іншими дорослими, які тебе опікають?",Стать
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Так, повністю погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,"Батькам або іншим дорослим, які за тебе відповідають","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Представником свого етносу, нації",Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",14,"['Цькування в соцмережах', 'Романтичні стосунки', 'Дружні стосунки', 'Проблеми в школі', 'Конфлікти з членами родини', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Так, скоріше вистачає",дівчина
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Винних,"Навчатись за кордоном, повернутись працювати і будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Родичам,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Важко відповісти,Щасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",14,"['Дружні стосунки', 'Проблеми в школі', 'Романтичні стосунки']","Ні, скоріше  не вистачає",дівчина
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь",NA,NA,Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде погіршуватись,NA,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",NA,NA,Дуже щасливий,NA,"Так, скоріше погоджуюсь",Дуже мало дозволяє,NA,"Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,NA,NA,NA,NA,NA
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти лише небагатьом таким людям,NA,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Радше знайти збої,"Навчатись за кордоном, повернутись працювати і будувати своє життя в Україні",Скоріш за все ситуація буде погіршуватись,Тільки собі,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Щасливий,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Представником свого етносу, нації",Покращити власне матеріальне становище або просто красти,"Ні, повністю не погоджуюсь",15,"['Проблеми в школі', 'Дружні стосунки', 'Романтичні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини']","Так, повністю вистачає",хлопець
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Хитрість та вміння обманювати людей,Батьки цього дуже хочуть і вважають це правильним,Слід дозволяти деяким таким людям,NA,"Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Вчителям,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Нещасливий,"Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Ні, скоріше не погоджуюсь",14,"Проблеми зі здоров'ям (фізичне, психологічне)","Так, повністю вистачає",хлопець
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Так, повністю погоджуюсь","Центральна влада (Президент, Уряд, Верховна рада України)","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Радше знайти збої,"Навчатись за кордоном, лишитись там працювати і будувати там нове життя",Скоріш за все ситуація буде покращуватись,Тільки собі,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Так, скоріше погоджуюсь",14,"['Проблеми в школі', 'Важко відповісти']","Так, скоріше вистачає",дівчина
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,NA,NA,Гарні зв’язки із впливовими людьми,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,NA,"Центральна влада (Президент, Уряд, Верховна рада України)",NA,"Ні, повністю не погоджуюсь",NA,Радше знайти збої,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином",Скоріш за все ситуація буде погіршуватись,NA,NA,NA,NA,NA,Нещасливий,NA,NA,Зовсім не дозволяє,NA,NA,Громадянином України,Покращити життя певної доволі великої групи громадян,NA,NA,NA,NA,NA
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,Важко відповісти,Важко відповісти,Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, скоріше не погоджуюсь",Кожен житель села особисто,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Радше знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Тільки собі,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Важко відповісти,"Ні, скоріше не погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя певної доволі великої групи громадян,Важко відповісти,16,"['Конфлікти з членами родини', 'Проблеми в школі', 'Дружні стосунки', 'Романтичні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Цькування в соцмережах', 'Шкідливі речовини']","Так, скоріше вистачає",дівчина
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,NA,Важко відповісти,NA,"Ні, скоріше не погоджуюсь",Важко відповісти,"Так, скоріше погоджуюсь",Рівнозначно,Важко відповісти,"Ситуація не буде погіршуватись, але навряд чи і покращиться",Тільки собі,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти,Щасливий,Важко відповісти,Важко відповісти,Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином світу,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",15,"['Конфлікти з членами родини', 'Проблеми в школі']","Ні, скоріше  не вистачає",дівчина
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,NA,NA,NA,NA,NA,NA,NA,"Центральна влада (Президент, Уряд, Верховна рада України)",NA,NA,NA,NA,"Навчатись за кордоном, лишитись там працювати і будувати там нове життя",Важко відповісти,NA,NA,NA,NA,NA,NA,NA,NA,Дуже мало дозволяє,NA,NA,"Мешканцем села, району чи міста, в якому ти живеш",NA,NA,NA,NA,NA,NA
Денишівський ліцей імені В.Г. Бондарчука,Житомирська область,Житомирський,2024-03-22,Важко відповісти,"Ні, скоріше не погоджуюсь",Походження та гени,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти багатьом таким людям переїжджати до України,NA,"Так, повністю погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Винних,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Тільки собі,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Важко відповісти,Нейтрально,Важко відповісти,"Ні, скоріше не погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Мешканцем села, району чи міста, в якому ти живеш",Задовольнити власні амбіції,"Так, скоріше погоджуюсь",15,"['Дружні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі']","Так, повністю вистачає",дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Батьки цього дуже хочуть і вважають це правильним,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Знайти збої,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном","Ситуація не буде погіршуватись, але навряд чи і покращиться",Друзям,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Значною мірою дозволяє,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Задовольнити власні амбіції,"Так, скоріше погоджуюсь",15,"['Важко відповісти', 'Конфлікти з членами родини']","Ні, повністю не вистачає",дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Не дозволяти нікому,"люди, які несуть за щось відповідальність перед іншими","Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Нікому,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже нещасливий,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Громадянином України,Покращити життя певної доволі великої групи громадян,"Ні, повністю не погоджуюсь",14,Важко відповісти,"Так, повністю вистачає",хлопець
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,"люди, які несуть за щось відповідальність перед іншими","Так, повністю погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Радше винних,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,Друзям,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Щасливий,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Задовольнити власні амбіції,"Ні, скоріше не погоджуюсь",15,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі', 'Конфлікти з членами родини']","Так, скоріше вистачає",дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,NA,NA,Гарні зв’язки із впливовими людьми,NA,Слід дозволяти деяким таким людям,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,NA,"Навчатись і працювати в Україні, будувати своє життя в Україні",NA,NA,NA,NA,NA,NA,NA,NA,NA,Важко відповісти,NA,NA,NA,Покращити власне матеріальне становище або просто красти,NA,NA,NA,NA,NA
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,Друзям,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Задовольнити власні амбіції,"Ні, скоріше не погоджуюсь",17,Важко відповісти,"Так, скоріше вистачає",дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,Важко відповісти,"Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Батьки цього дуже хочуть і вважають це правильним,Слід дозволяти деяким таким людям,"люди, які несуть за щось відповідальність перед іншими",Важко відповісти,"Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Знайти збої,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Скоріш за все ситуація буде погіршуватись,Нікому,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Важко відповісти,Нейтрально,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Мешканцем села, району чи міста, в якому ти живеш",Задовольнити власні амбіції,"Так, повністю погоджуюсь",16,"['Конфлікти з членами родини', 'Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]",Важко відповісти,дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,Важко відповісти,"Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,"люди, які несуть за щось відповідальність перед іншими","Ні, скоріше не погоджуюсь","Центральна влада (Президент, Уряд, Верховна рада України)","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,NA,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти,Нещасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Мешканцем села, району чи міста, в якому ти живеш",Важко сказати,"Так, скоріше погоджуюсь",15,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Так, скоріше вистачає",хлопець
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти деяким таким людям,"люди, які несуть за щось відповідальність перед іншими","Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,Нікому,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, повністю погоджуюсь",16,Важко відповісти,"Ні, скоріше  не вистачає",дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,NA,NA,Хитрість та вміння обманювати людей,NA,Не дозволяти нікому,NA,NA,NA,NA,NA,NA,NA,"Навчатись і працювати в Україні, будувати своє життя в Україні",NA,NA,NA,NA,NA,NA,NA,NA,NA,Повністю дозволяє,NA,NA,Громадянином колишнього Радянського Союзу,Покращити власне матеріальне становище або просто красти,NA,NA,NA,NA,NA
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,Важко відповісти,Важко відповісти,NA,Важко відповісти,NA,"інфлюенсери (блогери, актори, співаки, футболісти тощо)","Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Друзям,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Дуже щасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,NA,"Ні, скоріше не погоджуюсь",14,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки']","Так, скоріше вистачає",дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Не дозволяти нікому,"люди, які несуть за щось відповідальність перед іншими","Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",NA,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться","Батькам або іншим дорослим, які за тебе відповідають","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",NA,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Значною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Задовольнити власні амбіції,"Так, повністю погоджуюсь",16,"Проблеми зі здоров'ям (фізичне, психологічне)","Так, повністю вистачає",хлопець
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Так, повністю погоджуюсь","Ні, повністю не погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,"люди, які несуть за щось відповідальність перед іншими","Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Винних,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Друзям,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Представником свого етносу, нації",Покращити власне матеріальне становище або просто красти,"Ні, повністю не погоджуюсь",17,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі']","Так, повністю вистачає",дівчина
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Випадковість і везіння,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",NA,Рівнозначно,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном","Ситуація не буде погіршуватись, але навряд чи і покращиться","Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",NA,Важко відповісти,Дуже щасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя певної доволі великої групи громадян,NA,NA,"['Дружні стосунки', 'Романтичні стосунки', 'Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Так, повністю вистачає",NA
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,науковці та дослідники,"Ні, скоріше не погоджуюсь",Кожен житель села особисто,"Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Ні, скоріше не погоджуюсь",14,"['Конфлікти з членами родини', 'Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Ні, повністю не вистачає",хлопець
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Так, скоріше погоджуюсь",NA,Важко відповісти,Це дозволяє здобути нові знання та навички,Важко відповісти,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь",NA,NA,Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,NA,NA,"Ні, скоріше не погоджуюсь",NA,NA,Щасливий,NA,"Так, повністю погоджуюсь",Дуже мало дозволяє,NA,NA,"Представником свого етносу, нації",Покращити власне матеріальне становище або просто красти,NA,NA,NA,NA,NA
КЗ «Чоповицький ліцей»,Житомирська область,Коростенський,2024-10-10,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Випадковість і везіння,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,"люди, які несуть за щось відповідальність перед іншими","Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Знайти збої,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Важко відповісти,Друзям,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Певною мірою дозволяє,Важко відповісти,"Ні, скоріше не погоджуюсь",Громадянином світу,Задовольнити власні амбіції,"Так, скоріше погоджуюсь",NA,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки', 'Романтичні стосунки', 'Проблеми в школі']","Ні, скоріше  не вистачає",хлопець
